Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00       36     0.00     0.00  void std::vector<std::pair<long, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >, std::allocator<std::pair<long, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > > > >::_M_realloc_insert<long&, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > const&>(__gnu_cxx::__normal_iterator<std::pair<long, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >*, std::vector<std::pair<long, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >, std::allocator<std::pair<long, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > > > > >, long&, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > const&)
  0.00      0.01     0.00       36     0.00     0.00  std::__detail::_Compiler<std::__cxx11::regex_traits<char> >::_M_cur_int_value(int)
  0.00      0.01     0.00       33     0.00     0.00  amplitude::getChannels()
  0.00      0.01     0.00       31     0.00     0.00  Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const*, std::vector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, std::allocator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*>(__gnu_cxx::__normal_iterator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const*, std::vector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, std::allocator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > >, __gnu_cxx::__normal_iterator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const*, std::vector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, std::allocator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*)
  0.00      0.01     0.00       29     0.00     0.00  amplitude::amplitude(amplitude const&)
  0.00      0.01     0.00       29     0.00     0.00  amplitude::~amplitude()
  0.00      0.01     0.00       21     0.00     0.00  channel::getCouplingSteps()
  0.00      0.01     0.00       18     0.00     0.00  channel::getCouplings()
  0.00      0.01     0.00       18     0.00     0.00  amplitude::getName[abi:cxx11]()
  0.00      0.01     0.00       18     0.00     0.00  std::_Function_handler<bool (char), std::__detail::_AnyMatcher<std::__cxx11::regex_traits<char>, false, false, false> >::_M_invoke(std::_Any_data const&, char&&)
