113.775	-1.08953	-7.22638	0	0
113.677	-0.12	-7.10495	0	0
113.733	-0.32	-8.50335	0	0
113.761	-0.901468	-8.09011	0	0
113.775	-1.08953	-7.22638	0	0
113.677	-0.12	-7.10495	0	0
113.733	-0.32	-8.50335	0	0
113.733	-0.52	-8.09011	0	0
113.78	-1.04797	-7.22638	0	0
113.677	-0.12	-7.10495	0	0
113.733	-0.32	-8.50335	0	0
113.733	-0.52	-8.09011	0	0
113.776	-1.14125	-7.18801	1	0
113.78	-1.04797	-7.22638	0	0
113.677	-0.12	-7.10495	0	0
113.733	-0.32	-8.50335	0	0
113.733	-0.52	-8.09011	0	0
113.776	-1.14125	-7.18801	1	0
113.78	-1.04797	-7.22638	0	0
113.677	-0.12	-7.10495	0	0
113.733	-0.78	-8.50335	0	0
113.696	-0.50959	-8.09011	0	0
113.763	-1.15	-7.18801	1	0
113.78	-1.04797	-7.22638	0	0
113.89	-0.02	-7.10495	0	0
113.677	-0.12	-8.50335	0	0
113.736	-0.849508	-8.09011	0	0
113.763	-1.15	-7.18801	1	0
113.675	-0.00218185	-7.1008	1	0
