10.6332   0.1   1000  1000 1000 
10.6533   64.5   6.4   2.7  1.4
10.6810   139.0  18.4  5.7  3.1  
10.7009   151.4  13.4  2.8  3.4
10.7313   161.3  18.4  8.7  4.2
10.7463   104.0  4.8   2.7  2.4
10.7712   58.2   12.1  6.1  1.7
10.8045   143.6  8.4   2.4  3.3
10.8295   198.4  16.0  4.2  6.6
10.8489   160.8  19.4  6.2  5.6
10.8574   184.1  20.4  4.4  6.5
10.8642   159.9  2.7   0.3  6.3
10.8658   154.9  3.4   0.1  6.2
10.8676   154.1  2.7   0.2  6.2
10.8778   117.3  16.6  3.0  4.3
10.8828   88.9   10.8  2.5  3.3
10.8889   82.7   14.4  1.8  3.1
10.8983   61.1   8.0   1.4  2.3
10.9073   72.1   14.0  4.0  2.8
10.9287   115.6  16.2  3.8  4.7
10.9575   89.2   15.5  2.5  3.8
10.9753   81.7   14.3  4.5  3.6
10.9904   43.1   12.4  3.5  2.0
11.0039   78.4   14.2  5.1  3.6
11.0148   85.0   18.1  2.7  3.9
11.0185   71.9   15.9  3.1  3.4
11.0208   77.6   15.6  5.4  3.6
