0.9975	31.3699	49.1575	44.4773	34.7578	34.083	40.8926	4.97419	22.9522	3.11242	1.3388	-2.69912	1.71185	-2.05909	2.5337	114.789	28.8912
1.0125	209.455	212.597	90.6324	208.982	1.76509	15.5937	1.50738	9.2337	1.03002	0.573681	-1.93235	7.18101	2.85267	3.47811	303.276	49.0731
1.0275	186.228	307.065	52.8622	293.883	9.59189	55.281	144.245	121.599	1.43161	0.860849	1.37894	12.174	-1.61786	1.90088	394.041	57.7014
1.0425	310.764	382.264	168.619	174.581	44.0948	142.221	89.3301	113.543	1.82629	0.575514	2.90924	0.718234	-2.63904	0.720071	612.753	71.6129
1.0575	427.015	122.583	37.7326	115.87	44.5188	130.876	207.035	166.224	2.08425	1.61959	-2.25087	0.331954	-2.19943	0.654141	715.951	75.7843
1.0725	570.454	522.34	184.185	188.624	65.5336	278.05	29.3096	77.2599	1.78839	0.697249	-3.06184	1.01633	-2.68975	0.924142	849.296	83.5185
1.0875	873.02	562.881	214.854	501.183	2.20143	45.4805	19.0297	30.4568	1.93951	0.715059	-2.86074	3.96565	-0.992926	1.29485	1107.94	92.4006
1.1025	722.138	323.128	305.716	376.006	81.9261	191.33	21.2409	60.2734	1.75073	0.555674	-0.610646	1.11159	0.208837	1.71894	1131.26	95.316
1.1175	962.785	996.37	134.19	738.313	170.669	243.725	8.94732	96.9314	2.0909	0.475549	-2.27628	1.00204	-2.0797	1.40237	1276.65	95.1991
1.1325	705.339	792.481	506.55	545.907	105.167	265.744	163.687	145.935	1.36872	0.27569	-3.07012	1.1773	-0.317248	0.723982	1478.75	102.579
1.1475	241.46	2329.17	737.11	2408.85	776.84	192.621	29.1547	44.8826	2.7911	2.65126	-2.15384	1.3898	2.64845	1.28649	1783.78	119.816
1.1625	1131.91	452.697	417.255	320.606	439.333	275.794	23.19	28.607	2.0489	0.373656	-2.91498	0.604361	2.54903	2.24159	2011.71	118.35
1.1775	1816.42	566.455	172.755	151.029	580.476	462.356	37.3835	62.9683	2.80092	0.898134	1.23944	1.04974	-0.0528532	0.914115	2604.48	145.057
1.1925	1719.15	491.657	443.777	232.161	650.151	406.737	12.5223	32.1858	2.31473	0.524697	0.506167	0.634127	1.70204	1.35114	2826.12	150.52
1.2075	2072.33	538.06	510.168	312.241	539.705	391.257	19.3663	44.9693	1.75358	0.194774	0.139104	0.227768	-1.18549	0.752761	3142.12	157.202
1.2225	1884.07	342.54	419.672	282.51	1291.78	395.581	42.3336	65.0304	1.90485	0.255876	0.177448	0.218974	1.2287	0.664391	3638.13	169.497
1.2375	1371.21	401.471	2421.18	370.247	538.093	478.059	38.4753	57.0678	1.27671	0.482703	-0.230929	0.243002	-0.23672	2.30591	4378.6	183.087
1.2525	2902.72	3128.55	1757.25	3060.69	236.207	100.036	1.91229	9.03042	1.27647	0.404952	0.871139	4.94727	0.289114	3.32911	4895.07	191.871
1.2675	3268.98	727.434	902.092	438.355	1010.53	457.055	38.4427	47.4579	1.3829	0.135966	0.0980598	0.160663	0.790425	0.857406	5221.15	202.294
1.2825	3243.03	726.717	1521.65	469.78	804.064	435.325	76.3154	68.6265	1.09299	0.160406	-0.16267	0.182064	0.514741	0.711117	5631.9	211.153
1.2975	4038.26	644.422	255.183	296.501	1223.3	572.709	78.585	64.5191	1.16382	0.332212	0.140164	0.256854	0.754488	0.95224	5611.95	210.279
1.3125	4537.39	966.52	627.979	589.803	1064.25	493.723	27.8168	42.0244	1.17162	0.121581	0.19562	0.196605	1.00921	1.25155	6268.41	222.338
1.3275	3564.03	909.661	1964.98	925.899	302.188	138.772	124.47	123.283	0.887507	0.145058	0.471856	1.36881	1.04368	0.510969	5968.15	213.646
1.3425	4579.05	631.6	364.23	331.337	1527.25	633.96	19.4261	69.3667	0.713989	0.426268	-0.354203	0.338503	-0.841785	1.42974	6480.66	226.958
1.3575	6006.16	457.147	432.297	461.798	299.253	378.446	154.513	216.14	0.606838	0.449298	-0.0468696	1.10301	-0.822314	0.651713	6888.38	222.122
1.3725	5401.36	3679.13	1074.69	3173.84	92.8229	472.159	94.8505	86.13	1.18579	0.112922	0.623786	8.14436	0.914985	1.43544	6662.46	230.024
1.3875	5814.22	1539.98	645.033	1277.16	203.785	324.47	127.881	240.942	1.26938	0.176738	1.3533	2.67822	0.132775	0.769663	6789.93	227.464
1.4025	5778.37	711.996	905.042	765.118	412.819	589.086	43.5346	92.3425	1.25145	0.186453	0.0754461	0.356216	-0.688907	0.651502	7143.86	240.232
1.4175	4579.83	1250.16	2684.17	1198.37	44.9193	49.2999	146.208	130.975	1.58611	0.143144	1.10595	2.18807	1.06403	0.314924	7454.23	238.76
1.4325	6424.16	690.084	770.152	741.195	359.213	539.126	63.6386	79.4797	1.62444	0.244466	-0.103693	0.299605	0.725624	0.623492	7616.01	244.458
1.4475	5520.16	1101.76	1304.46	715.902	883.811	546.622	21.6485	38.833	1.87095	0.103616	0.283003	0.174818	1.02381	0.937647	7723.6	245.531
1.4625	4204.39	813.128	3608.22	1056.12	636.518	544.491	129.573	89.0885	1.50654	0.163488	0.0768591	0.203027	-0.372413	0.467416	8579.05	254.87
1.4775	3695.33	866.53	5506.34	1026.9	2036.78	691.319	225.142	173.696	1.43209	0.159432	-0.0210808	0.132818	-0.650257	0.415823	11445	289.595
1.4925	3234.4	1124.44	9631.16	1443.51	3295.76	912.794	163.218	272.714	1.08022	0.230768	-0.109049	0.129796	-0.92023	0.60249	16359	338.482
