10.7711   0.955 0.605
10.8205   1.697 0.793
10.8497   0.989 0.888 
10.8589   0.988 0.916 
10.8695   0.978 0.947 
10.8785   0.978 0.973 
10.8836   1.848 0.987 
10.8889   0.990 1.003 
10.8985   0.983 1.029 
10.9011   1.425 1.036 
10.9077   0.980 1.053 
10.9275   1.149 1.105 
10.9575   0.969 1.178 
10.9775   0.999 1.224 
10.9919   0.985 1.258 
11.0068   0.976 1.290 
11.0164   0.771 1.311 
11.0175   0.859 1.314 
11.0220   0.982 1.323 
10.8686  22.938 0.945 
10.8633  47.647 0.930 
10.8667  50.475 0.940 
