11020.8   158.4  19.3  4.2   7.7 
11018.5   82.4   16.5  2.3   4.0 
11014.8   119.2  19.5  2.4   5.8 
11003.9   45.2   11.8  1.3   2.2 
10990.4   47.9   11.7  2.0   2.3 
10975.3   44.0   11.9  0.8   2.1 
10957.5   54.5   12.6  1.6   2.5 
10928.7   62.7   12.1  1.6   2.7 
10907.3   66.8   13.5  3.2   2.8 
10898.3   90.2   9.4   1.3   3.7 
10888.9   101.2  15.6  1.0   4.1 
10882.8   109.6  11.7  1.5   4.4 
10877.8   103.1  16.0  2.8   4.1 
10867.6   76.5   2.1   0.1   3.2 
10865.8   81.3   2.7   0.1   3.4 
10864.2   74.2   2.0   0.1   3.1 
10857.4   81.5   15.0  2.5   3.2 
10848.9   109.3  15.2  3.2   4.1 
10829.5   101.8  11.6  3.4   3.7 
10771.2   112.2  16.2  5.2   3.6 
10731.3   54.7   11.8  8.5   1.6 
10681.0   177.3  18.4  10.7  4.5 
10632.2   257.6  22.7  8.1   5.6 
10804.5   98.6   6.8   1.3   2.3
10746.3   52.9   4.2   1.0   1.2 
10700.9   126.0  11.8  2.2   2.8
10653.3   106.8  7.8   3.7   2.3
