11020.8   31.5  9.9   1.2  1.7 
11018.5   27.8  10.5  1.0  1.5 
11014.8   34.8  11.4  1.2  1.9 
11003.9   9.7   7.0   0.3  0.6 
10990.4   10.5  8.1   0.4  0.7 
10975.3   8.5   7.2   1.2  0.6 
10957.5   -2.8  6.0   0.1  0.3 
10928.7   10.5  6.9   0.9  0.6 
10907.3   28.8  9.1   2.0  1.4 
10898.3   32.2  6.3   0.5  1.4 
10888.9   43.8  10.5  0.7  2.0 
10882.8   33.9  7.5   0.4  1.5 
10877.8   33.7  10.1  1.7  1.5 
10867.6   31.3  1.5   0.0  1.3 
10865.8   32.7  1.9   0.0  1.4 
10864.2   32.2  1.4   0.0  1.4 
10857.4   17.8  8.8   1.2  0.8 
10848.9   19.6  8.7   2.3  0.9 
10829.5   18.6  7.0   0.7  0.8 
10771.2   9.7   7.6   2.2  0.5 
10731.3   27.0  10.1  1.4  1.0 
10681.0   19.2  9.3   4.1  0.7 
10632.2   51.0  11.1  6.0  1.4 
10804.5   21.0  4.1   0.5  0.5
10746.3   19.0  2.9   1.0  0.4 
10700.9   16.1  6.0   0.7  0.4
10653.3   7.2   3.3   1.4  0.2
